keyword,line1,line2,line3,line4,line5,score,type
world,There once was a nice lady named lee,Whose soul lived somewhere higher than me.,"She was out one morning,","In a quiet mourning,",And came on the beautiful sunday.,-3.9878721678698503,SINGLE_NO_STORY
leader,There was a fierce soldier named tyrone,Who led a great army on his own.,"He fought for his honor,","And his life and honour,",With his body and soul in the bone.,-2.754726661789802,DTS_NO_STORY
cunning,There was a impostor named hyun,Whose father actually possessed none.,"There is proof like a stone,","He actually shone,",As he said out three times in his son.,-4.563656342881067,SINGLE_STORY
creativity,There once was a nice lady named lee,Whose name meant perhaps better than me.,"She lived out one summer,","In a little drummer,",And played on the funeral sunday.,-4.21158989712044,SINGLE_NO_STORY
flower,There once was a nice lady named yer,Whose house rose somewhere higher than her.,"She lived out one bedroom,","In a tiny bathroom,",And sat on the elevated spur.,-3.962367609695152,SINGLE_NO_STORY
working,There was a technician named nam,Who did a great job on our program.,"He came back from the start,","He 's a man of heart,",He does the things in life that i am.,-2.937053748570821,DTS_STORY
airplane,There was a neat soldier named ray,Who traveled a great distance each day.,"The captain of his ship,","At the time in the trip,",And the man on the deck of the way.,-3.015169758349657,DTS_STORY
smart,There was a smart lady named my,Who put a big smile on our eye.,"So beautiful and kind,","She was easy to find,",And that is the beauty of this guy.,-2.8150477134312193,DTS_STORY
color,There once was a nice lady named lee,Whose life changed much earlier than me.,"She went out one morning,","In a little mourning,",And fell on the beautiful sunday.,-3.6862900455792746,SINGLE_NO_STORY
time,There once was a nice lady named theodore,Whose life got much better than before.,"She went out one morning,","In a little mourning,",And sat on the elevated floor.,-3.714629707513032,SINGLE_NO_STORY
law,There was a harsh judge named chase,Who brought a new trial on my case.,"I was on the outside,","But i still felt inside,",And that is the beauty of this place.,-2.727136188937772,DTS_NO_STORY
smart,There was a smart lady named yee,Whose work really motivated me.,"There is stuff like a book,","She actually took,",As it turned out two books in her tree.,-4.08844693771763,SINGLE_STORY
violent,There once was a soldier named un,Whose name actually killed someone.,"There is stuff like a guy,","He actually die,",As he was out two days in his gun.,-4.433546564408711,SINGLE_STORY
monster,There was a fierce girl named pete,Who got a strange feeling on her feet.,"With her feet on the floor,","Her body was so sore,",It was painful to walk and to eat.,-2.6978152566589415,DTS_NO_STORY
boxing,There was a fierce actor named everette,Who lost all his money in a bet.,"He came back from the dead,","With a suit on his head,",And the world on the edge of the net.,-2.4811168790740123,DTS_NO_STORY
cheat,There was a lazy man named chun,Who put all his money in a gun.,"He would go to a game,","Take a shot at my name,",And say something to my face in fun.,-3.0089812021363866,DTS_STORY
monster,There was a fierce girl named un,Whose mother always swallowed someone.,"There is fire like a flame,","It literally came,",As she cried out three times in her son.,-4.474509442225099,SINGLE_STORY
scary,There was a nasty girl named lise,Who happened on one of our guys.,"Her parents were so kind,","She was able to find,",Because we were doing our eyes.,-3.4621019744996113,DTS_STORY
angry,There was a loud lady named lyle,Who shouted out our names for a while.,"She came back from the store,","And we walked to the door,",And she looked down and saw our smile.,-2.6577180768504287,DTS_NO_STORY
union,There was a teacher named kit,Whose name also represented it.,"There is school like a dream,","I actually scream,",As i lay out two books in my kit.,-4.445085568087442,SINGLE_STORY
