keyword,line1,line2,line3,line4,line5,score,type
gun,There was a loud man named mack,Who carried a large bag on his back.,"His eyes were so intense,","He was able to sense,",And he looked down and found his backpack.,-2.6606063799061364,DTS_NO_STORY
law,There once was a nice lady named yer,Whose life passed far easier than her.,"She lived out two decades,","In a quiet hades,",And died on the fiery transfer.,-4.250113802927512,SINGLE_NO_STORY
body,There was a nervous girl named zack,Who carried a big bag on her back.,"With her feet on the ground,","She was caught by a sound,",And she looked down and saw her backpack.,-2.6104188854947235,DTS_NO_STORY
blood,There once was a nice lady named theodore,Whose dress showed much better than before.,"She was out one morning,","In a little mourning,",And came on the fashionable shore.,-3.9492286532013505,SINGLE_NO_STORY
child,There was a cruel girl named britt,Whose family never allowed it.,"There is blood like a lake,","It literally shake,",As she cried out three times in her fit.,-4.359702677599022,SINGLE_STORY
park,There was a funny boy named rea,Who rode a white horse on his birthday.,"The day of our ride,","It was raining outside,",So we got up and drove on the way.,-2.8050800888769087,DTS_STORY
dog,There once was a nice lady named theodore,Whose hair got much longer than before.,"She went out one morning,","In a sudden mourning,",And fell on the funeral outdoor.,-3.7094689232331737,SINGLE_NO_STORY
world,There was a wise man named paul,Who lost all his money in a fall.,"He came back from the dead,","With a gun on his head,",With his wife and daughter in the hall.,-2.397306572533015,DTS_NO_STORY
leader,There was a fierce soldier named rae,Who helped a young woman on her way.,"In the woods that he led,","He was struck by a thread,",And he fell down and suffered his day.,-3.165149547836997,DTS_STORY
sports,There once was a boy named bridgette,Who owned a small shop on our street.,"He would go to a school,","Get a job at his pool,",And now he is a college athlete.,-2.854105026461184,DTS_STORY
scary,There was a stupid witch named jolie,Whose name actually surprised me.,"There is stuff like a book,","She actually took,",As it turned out two books in her tree.,-4.200551271488491,SINGLE_STORY
planet,There once was a nice lady named chase,Whose soul lived somewhere deeper than space.,"She was out one morning,","In a quiet mourning,",And came on the beautiful staircase.,-4.016667361612673,SINGLE_NO_STORY
forest,There once was a nice lady named kurt,Whose skin scrub absorbs better than dirt.,"She was out one morning,","In a quiet mourning,",And came on the beautiful desert.,-4.69659215349842,SINGLE_NO_STORY
funeral,There was a brave soldier named laure,Whose family never died before.,"There is fire like a flame,","He actually came,",As he called out three times in his roar.,-4.215962340256998,SINGLE_STORY
disease,There was a general named tyree,Who suffered a great wound on his knee.,"He came back from the pain,","And he went to the train,",And he saw somebody again see.,-3.2250036251160408,DTS_STORY
disease,There was a general named dewitt,Whose wife also inherited it.,"There is love like a dream,","It actually seem,",As he went out two nights in his pit.,-4.543201497622898,SINGLE_STORY
creativity,There was a designer named yee,Whose work really motivated me.,"There is stuff like a book,","He actually took,",As it turned out two books in his tree.,-4.162337852459002,SINGLE_STORY
forest,There once was a man named brande,Who covered an area of land.,"He would go to a bar,","Get a drink at his car,",And drive home to his girlfriend in hand.,-2.8565820551687673,DTS_NO_STORY
body,There was a skinny girl named freda,Who carried a big bag on her head.,"With her hands on the hips,","With her eyes and her lips,",She was ready to give and to lead.,-2.932320804306955,DTS_STORY
working,There was a smart teacher named sam,Who did a great job on our program.,"He was on the tv,","He 's a friend of me,",And he came down and watched our programme.,-2.709259395953268,DTS_NO_STORY
