keyword,line1,line2,line3,line4,line5,score,type
light,There once was a man named faye,Who made all his money in a day.,"He came back from the sky,","With a smile on his eye,",With a new lease of life on his way.,-2.736854964072871,DTS_STORY
water,There once was a nice lady named theodore,Whose hair flowed much longer than before.,"She looked out one morning,","In a little mourning,",And saw on the elevated floor.,-4.04650220937199,SINGLE_NO_STORY
philosophy,There was a wise teacher named jose,Who learned a great deal on his way.,"In his quest for insight,","He was led by a light,",But he knew his enemies and lay.,-3.3331706874793574,DTS_STORY
exercise,There once was a nice lady named theodore,Whose name meant somewhat less than before.,"She was out one morning,","In a quiet mourning,",And sat on the elevated floor.,-3.993590697094246,SINGLE_NO_STORY
forest,There once was a man named brande,Who covered an area of land.,"He would go to a lake,","And he went to the break,",And he sat down and started his stand.,-3.2093646795518938,DTS_STORY
applaud,There was a humble judge named rae,Who welcomed a young man on his way.,"She asked for his address,","His name and his progress,",And he came down and met her halfway.,-2.969020990594741,DTS_NO_STORY
funeral,There once was a nice lady named manuel,Whose soul lay somewhere deeper than hell.,"She was out one morning,","In a quiet mourning,",And sat on the elevated well.,-4.096093005604214,SINGLE_NO_STORY
rich,There was a greedy man named kit,Whose father actually made it.,"There is life like a dream,","I actually scream,",As i put out two fires in my pit.,-4.324500186102731,SINGLE_STORY
ball,There once was a nice lady named lee,Whose dress made much happier than me.,"She was out one morning,","In a little mourning,",And came on the beautiful sunday.,-3.97885051480046,SINGLE_NO_STORY
death,There was a brave boy named chase,Who suffered a great wound on his face.,"He came back from the war,","And he went to the store,",And that is the history of this place.,-2.561582576144825,DTS_STORY
art,There was a artist named yee,Whose work really fascinated me.,"There is stuff like a guy,","He actually die,",As he was out two days in his tree.,-4.032357708151851,SINGLE_STORY
market,There was a wise farmer named brande,Who managed a small farm on his land.,"He wanted a shotgun,","But he never got one,",So he dug through a hole in the sand.,-2.474821271434907,DTS_NO_STORY
music,There was a loud boy named jae,Who sang a great song on my birthday.,"He was back from the band,","And he came to the stand,",And he sat down and began his play.,-2.798206166787581,DTS_STORY
rich,There once was a nice lady named salvatore,Whose name meant far better than glory.,"She lived out one summer,","In a little drummer,",And played on the principal story.,-4.290722731638838,SINGLE_NO_STORY
child,There was a cruel girl named chase,Who put a big smile on our face.,"She was on the outside,","And she was to the side,",And she looked down and saw our place.,-2.6796577300410718,DTS_NO_STORY
art,There was a artist named kyle,Who made a huge impact on my style.,"I would go to a show,","I would take a photo,",And you see that my face has a smile.,-2.6064782828995674,DTS_NO_STORY
philosophy,There was a professor named hyun,Whose work really inspired someone.,"There is stuff like a book,","He actually took,",As he put out two books in his run.,-4.343643701502255,SINGLE_STORY
applaud,There was a humble judge named jolie,Whose name really disappointed me.,"There is stuff like a guy,","She literally cry,",As she said out three times in her plea.,-4.27302765420505,SINGLE_STORY
fire,There was a bright man named jolie,Whose name actually attacked me.,"There is light like a sun,","He actually won,",As he took out two guys in his three.,-4.413443412099566,SINGLE_STORY
time,There was a lady named flo,Who did a great job on our show.,"It was for her birthday,","It was on a sunday,",And she came down and took my photo.,-2.5285115862084973,DTS_NO_STORY
