keyword,line1,line2,line3,line4,line5,score,type
working,There once was a nice lady named theodore,Whose life got much better than before.,"She went out one morning,","In a little mourning,",And sat on the elevated floor.,-3.714629707513032,SINGLE_NO_STORY
violent,There was a harsh man named laure,Who killed all his family in a war.,"He came back from the dead,","With a scar on his head,",With his wife and son outside the door.,-2.4229272767675645,DTS_NO_STORY
weight,There was a doctor named grace,Who put a big smile on our face.,"We got back from the trip,","And we went to the ship,",And we sat down and took our place.,-2.621972265342871,DTS_NO_STORY
dog,There was a lucky boy named pei,Who got all his money in a day.,"He came back from the pit,","And he went to the bit,",And he sat down and had his birthday.,-2.9344889602877875,DTS_STORY
loss,There once was a nice lady named theodore,Whose hair fell much longer than before.,"She was out one morning,","In a quiet mourning,",And came on the funeral outdoor.,-4.037712735158426,SINGLE_NO_STORY
exercise,There was a wise woman named pei,Who learned a great deal on her way.,"She came back from the pain,","And she went to the rain,",And she sat down and waited her day.,-2.990781282836741,DTS_STORY
creativity,There was a designer named tyrone,Who learned a great deal on his own.,"He came back from the dead,","And he went to the fed,",And now he has a permanent loan.,-2.8159527104580775,DTS_NO_STORY
ball,There was a silly girl named clyde,Who played a big part on our side.,"She was on the football,","She was on a baseball,",She was able to play and to slide.,-3.120122988422912,DTS_STORY
school,There was a stupid boy named freda,Who had a pet monkey on his head.,"He would go to a bar,","Get a drink at his car,",And come home to his mother in bed.,-2.595766752055197,DTS_NO_STORY
union,There was a fierce teacher named dwight,Who sought out his students for a fight.,"The night of his protest,","He was stabbed by a guest,",And he fell down and wounded his right.,-3.3053235532715917,DTS_STORY
random,There once was a nice lady named son,Whose name meant perhaps better than none.,"She was out one morning,","In a quiet mourning,",And called on the venerable one.,-3.9958069125811257,SINGLE_NO_STORY
exercise,There once was a teacher named yer,Whose class really motivated her.,"There is stuff like a kid,","She actually did,",As she walked out three times in her fur.,-4.38656690290996,SINGLE_STORY
working,There was a teacher named yee,Whose name immediately got me.,"There is stuff like a book,","He actually took,",As it turned out two books in his tree.,-4.280608904057382,SINGLE_STORY
dog,There was a husky boy named chun,Whose mother always wanted someone.,"There is smoke like a flame,","He usually came,",As he called out three times in his run.,-4.344411697770868,SINGLE_STORY
union,There once was a nice lady named theodore,Whose work paid much better than before.,"She was out one morning,","In a quiet mourning,",And came on the funeral outdoor.,-4.163752850559023,SINGLE_NO_STORY
evil,There was a cruel witch named chun,Whose mother always hated someone.,"There is fear like a beast,","She constantly increased,",As she saw out two lives in her one.,-4.526613899639675,SINGLE_STORY
school,There was a lucky boy named rae,Who got a great deal on his birthday.,"He wanted a football,","And he went to the ball,",And that is the story of this play.,-2.7284389426631313,DTS_STORY
angry,There once was a nice lady named javier,Whose house scared much better than nowhere.,"She lived out one bedroom,","In a tiny bathroom,",And sat on the comfortable chair.,-3.9747552584718773,SINGLE_NO_STORY
rich,There was a greedy man named rea,Who made all his money in a way.,"He would go to a bar,","Have a drink at his car,",And drive home to his family in clay.,-2.745123901150443,DTS_NO_STORY
opera,There once was a artist named yer,Whose work really fascinated her.,"There is stuff like a book,","He actually took,",As it turned out two books in his fur.,-4.396002669760492,SINGLE_STORY
